parent,parenttype,parentfield,item_code,qty,uom,stock_qty,stock_uom,include_item_in_manufacturing
BOM-500C2031A-R0,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-500C2031A-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2031A-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C2031A-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C2132-R1,BOM,items,M12RR,77.4,Kg,77.4,Kg,1
BOM-500C2132-R1,BOM,items,TALC 1090,22.0,Kg,22.0,Kg,1
BOM-500C2132-R1,BOM,items,AD304,0.4,Kg,0.4,Kg,1
BOM-500C2132-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C2192-R1,BOM,items,M12RR,75.8984,Kg,75.8984,Kg,1
BOM-500C2192-R1,BOM,items,TALC 1090,22.0,Kg,22.0,Kg,1
BOM-500C2192-R1,BOM,items,AD304,0.4,Kg,0.4,Kg,1
BOM-500C2192-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C2192-R1,BOM,items,PT01,1.5,Kg,1.5,Kg,1
BOM-500C2192-R1,BOM,items,PB02,0.0016,Kg,0.0016,Kg,1
BOM-500C2192A-R1,BOM,items,M12RR,78.3986,Kg,78.3986,Kg,1
BOM-500C2192A-R1,BOM,items,TALC 1090,20.0,Kg,20.0,Kg,1
BOM-500C2192A-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2192A-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C2192A-R1,BOM,items,PT01,1.2,Kg,1.2,Kg,1
BOM-500C2192A-R1,BOM,items,PB02,0.0002,Kg,0.0002,Kg,1
BOM-500C2192A-R1,BOM,items,PY02,0.001,Kg,0.001,Kg,1
BOM-500C2192A-R1,BOM,items,PC01,0.0002,Kg,0.0002,Kg,1
BOM-500C2221-R2,BOM,items,M12RR,77.9797,Kg,77.9797,Kg,1
BOM-500C2221-R2,BOM,items,B-72,20.0,Kg,20.0,Kg,1
BOM-500C2221-R2,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C2221-R2,BOM,items,AD304,0.5,Kg,0.5,Kg,1
BOM-500C2221-R2,BOM,items,PT01,0.16,Kg,0.16,Kg,1
BOM-500C2221-R2,BOM,items,PR01,0.53,Kg,0.53,Kg,1
BOM-500C2221-R2,BOM,items,PR02,0.545,Kg,0.545,Kg,1
BOM-500C2221-R2,BOM,items,PY02,0.082,Kg,0.082,Kg,1
BOM-500C2221-R2,BOM,items,PC01,0.0033,Kg,0.0033,Kg,1
BOM-500C2261-R3,BOM,items,H350FG,73.55,Kg,73.55,Kg,1
BOM-500C2261-R3,BOM,items,B-72,25.0,Kg,25.0,Kg,1
BOM-500C2261-R3,BOM,items,PT01,1.0,Kg,1.0,Kg,1
BOM-500C2261-R3,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2261-R3,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-500C2262-R2,BOM,items,Y35GR,69.316081,Kg,69.316081,Kg,1
BOM-500C2262-R2,BOM,items,B-72,23.10536,Kg,23.10536,Kg,1
BOM-500C2262-R2,BOM,items,AD102,2.310536,Kg,2.310536,Kg,1
BOM-500C2262-R2,BOM,items,AD304,3.23475,Kg,3.23475,Kg,1
BOM-500C2262-R2,BOM,items,PT01,1.848429,Kg,1.848429,Kg,1
BOM-500C2262-R2,BOM,items,PB03,0.184843,Kg,0.184843,Kg,1
BOM-500C2281-R2,BOM,items,H350FG,83.035902,Kg,83.035902,Kg,1
BOM-500C2281-R2,BOM,items,CAO,16.0,Kg,16.0,Kg,1
BOM-500C2281-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2281-R2,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-500C2281-R2,BOM,items,PC01,0.000198,Kg,0.000198,Kg,1
BOM-500C2281-R2,BOM,items,PT01,0.5,Kg,0.5,Kg,1
BOM-500C2281-R2,BOM,items,PY04,0.0132,Kg,0.0132,Kg,1
BOM-500C2281-R2,BOM,items,PG01,0.0007,Kg,0.0007,Kg,1
BOM-500C2291-R2,BOM,items,M12RR,77.4773,Kg,77.4773,Kg,1
BOM-500C2291-R2,BOM,items,B-72,21.0,Kg,21.0,Kg,1
BOM-500C2291-R2,BOM,items,AD304,0.4,Kg,0.4,Kg,1
BOM-500C2291-R2,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C2291-R2,BOM,items,PT01,1.0,Kg,1.0,Kg,1
BOM-500C2291-R2,BOM,items,PC01,0.0015,Kg,0.0015,Kg,1
BOM-500C2291-R2,BOM,items,PB02,0.005,Kg,0.005,Kg,1
BOM-500C2291-R2,BOM,items,PR01,0.0002,Kg,0.0002,Kg,1
BOM-500C2291-R2,BOM,items,POB1,0.016,Kg,0.016,Kg,1
BOM-500C2293-R2,BOM,items,M12RR,61.2259,Kg,61.2259,Kg,1
BOM-500C2293-R2,BOM,items,B220MN,15.0,Kg,15.0,Kg,1
BOM-500C2293-R2,BOM,items,B-72,21.0,Kg,21.0,Kg,1
BOM-500C2293-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2293-R2,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-500C2293-R2,BOM,items,PC01,0.019,Kg,0.019,Kg,1
BOM-500C2293-R2,BOM,items,PV01,0.0033,Kg,0.0033,Kg,1
BOM-500C2293-R2,BOM,items,PB02,0.0018,Kg,0.0018,Kg,1
BOM-500C2293-R2,BOM,items,PT01,2.3,Kg,2.3,Kg,1
BOM-500C2295-R2,BOM,items,M12RR,72.77853,Kg,72.77853,Kg,1
BOM-500C2295-R2,BOM,items,B-72,25.0,Kg,25.0,Kg,1
BOM-500C2295-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2295-R2,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C2295-R2,BOM,items,PT01,1.8,Kg,1.8,Kg,1
BOM-500C2295-R2,BOM,items,PY01,0.016,Kg,0.016,Kg,1
BOM-500C2295-R2,BOM,items,PO01,0.0039,Kg,0.0039,Kg,1
BOM-500C2295-R2,BOM,items,PC01,0.00157,Kg,0.00157,Kg,1
BOM-500C3001-R1,BOM,items,H350FG,63.55,Kg,63.55,Kg,1
BOM-500C3001-R1,BOM,items,G508,30.0,Kg,30.0,Kg,1
BOM-500C3001-R1,BOM,items,AD202,2.0,Kg,2.0,Kg,1
BOM-500C3001-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3001-R1,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-500C3001-R1,BOM,items,PE5302,4.0,Kg,4.0,Kg,1
BOM-500C3011-R1,BOM,items,H350FG,68.05,Kg,68.05,Kg,1
BOM-500C3011-R1,BOM,items,G508,30.0,Kg,30.0,Kg,1
BOM-500C3011-R1,BOM,items,AD202,1.0,Kg,1.0,Kg,1
BOM-500C3011-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3011-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C3011-R1,BOM,items,PR02,0.006,Kg,0.006,Kg,1
BOM-500C3011-R1,BOM,items,PT01,0.4,Kg,0.4,Kg,1
BOM-500C3011-R1,BOM,items,PY02,0.044,Kg,0.044,Kg,1
BOM-500C3011-R1,BOM,items,PC01,0.0003,Kg,0.0003,Kg,1
BOM-500C3032-R1,BOM,items,B220MN,69.59,Kg,69.59,Kg,1
BOM-500C3032-R1,BOM,items,G508,30.0,Kg,30.0,Kg,1
BOM-500C3032-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3032-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C3032-R1,BOM,items,POB2,0.01,Kg,0.01,Kg,1
BOM-500C3091UV-R0,BOM,items,H350FG,66.25,Kg,66.25,Kg,1
BOM-500C3091UV-R0,BOM,items,G508,30.0,Kg,30.0,Kg,1
BOM-500C3091UV-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3091UV-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C3091UV-R0,BOM,items,H-10,0.15,Kg,0.15,Kg,1
BOM-500C3091UV-R0,BOM,items,AD501,0.1,Kg,0.1,Kg,1
BOM-500C3091UV-R0,BOM,items,AD502,0.1,Kg,0.1,Kg,1
BOM-500C3091UV-R0,BOM,items,PT01,3.0,Kg,3.0,Kg,1
BOM-500C3101-R3,BOM,items,B120MN,38.1,Kg,38.1,Kg,1
BOM-500C3101-R3,BOM,items,AM650N,20.0,Kg,20.0,Kg,1
BOM-500C3101-R3,BOM,items,TALC 1090,30.0,Kg,30.0,Kg,1
BOM-500C3101-R3,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C3101-R3,BOM,items,AD307,0.3,Kg,0.3,Kg,1
BOM-500C3101-R3,BOM,items,PE5302,2.0,Kg,2.0,Kg,1
BOM-500C3101-R3,BOM,items,6202,3.0,Kg,3.0,Kg,1
BOM-500C3101-R3,BOM,items,PE0800,6.5,Kg,6.5,Kg,1
BOM-500C3101F-R0,BOM,items,H350FG,51.5,Kg,51.5,Kg,1
BOM-500C3101F-R0,BOM,items,TALC 1090,30.0,Kg,30.0,Kg,1
BOM-500C3101F-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3101F-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C3101F-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C3101F-R0,BOM,items,PE5302,4.0,Kg,4.0,Kg,1
BOM-500C3101F-R0,BOM,items,AD412,14.0,Kg,14.0,Kg,1
BOM-500C3131F-R1,BOM,items,M12RR,77.8,Kg,77.8,Kg,1
BOM-500C3131F-R1,BOM,items,TALC 1090,12.0,Kg,12.0,Kg,1
BOM-500C3131F-R1,BOM,items,AD412,10.0,Kg,10.0,Kg,1
BOM-500C3131F-R1,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C3131F-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C3181F1-R1,BOM,items,M12RR,32.7293,Kg,32.7293,Kg,1
BOM-500C3181F1-R1,BOM,items,TALC 1090,25.0,Kg,25.0,Kg,1
BOM-500C3181F1-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3181F1-R1,BOM,items,AD101,0.15,Kg,0.15,Kg,1
BOM-500C3181F1-R1,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-500C3181F1-R1,BOM,items,AD412,14.0,Kg,14.0,Kg,1
BOM-500C3181F1-R1,BOM,items,H350FG,27.0,Kg,27.0,Kg,1
BOM-500C3181F1-R1,BOM,items,PC01,0.019,Kg,0.019,Kg,1
BOM-500C3181F1-R1,BOM,items,PG01,0.0015,Kg,0.0015,Kg,1
BOM-500C3181F1-R1,BOM,items,PT01,0.65,Kg,0.65,Kg,1
BOM-500C3181F1-R1,BOM,items,PY02,0.0002,Kg,0.0002,Kg,1
BOM-500C3301-R2,BOM,items,B400MN,65.6,Kg,65.6,Kg,1
BOM-500C3301-R2,BOM,items,G508,15.0,Kg,15.0,Kg,1
BOM-500C3301-R2,BOM,items,TALC 1090,15.0,Kg,15.0,Kg,1
BOM-500C3301-R2,BOM,items,PE5302,4.0,Kg,4.0,Kg,1
BOM-500C3301-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C3301-R2,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C4031-R1,BOM,items,H350FG,56.5,Kg,56.5,Kg,1
BOM-500C4031-R1,BOM,items,G508,40.0,Kg,40.0,Kg,1
BOM-500C4031-R1,BOM,items,AD202,3.0,Kg,3.0,Kg,1
BOM-500C4031-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C4031-R1,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C4031-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C4031HS-R1,BOM,items,H350FG,37.34,Kg,37.34,Kg,1
BOM-500C4031HS-R1,BOM,items,M12RR,20.0,Kg,20.0,Kg,1
BOM-500C4031HS-R1,BOM,items,G508,40.0,Kg,40.0,Kg,1
BOM-500C4031HS-R1,BOM,items,AD202,2.0,Kg,2.0,Kg,1
BOM-500C4031HS-R1,BOM,items,POB1,0.01,Kg,0.01,Kg,1
BOM-500C4031HS-R1,BOM,items,AD304,0.5,Kg,0.5,Kg,1
BOM-500C4031HS-R1,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-501C3283-R2,BOM,items,M12RR,73.65,Kg,73.65,Kg,1
BOM-501C3283-R2,BOM,items,B-72,25.0,Kg,25.0,Kg,1
BOM-501C3283-R2,BOM,items,PT01,0.25,Kg,0.25,Kg,1
BOM-501C3283-R2,BOM,items,PC01,0.3,Kg,0.3,Kg,1
BOM-501C3283-R2,BOM,items,PB02,0.3,Kg,0.3,Kg,1
BOM-501C3283-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-501C3283-R2,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-510C0031F-R1,BOM,items,H350FG,85.55,Kg,85.55,Kg,1
BOM-510C0031F-R1,BOM,items,AD412,14.0,Kg,14.0,Kg,1
BOM-510C0031F-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C0031F-R1,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-510C1101IM-R1,BOM,items,B220MN,70.55,Kg,70.55,Kg,1
BOM-510C1101IM-R1,BOM,items,AD206,15.0,Kg,15.0,Kg,1
BOM-510C1101IM-R1,BOM,items,TALC 1090,10.0,Kg,10.0,Kg,1
BOM-510C1101IM-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C1101IM-R1,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-510C1101IM-R1,BOM,items,PE0800,4.0,Kg,4.0,Kg,1
BOM-510C1131-R0,BOM,items,B220MN,82.5,Kg,82.5,Kg,1
BOM-510C1131-R0,BOM,items,TALC 1090,15.0,Kg,15.0,Kg,1
BOM-510C1131-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C1131-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C1131-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C1131-R0,BOM,items,AD204,2.0,Kg,2.0,Kg,1
BOM-510C1191-R2,BOM,items,M12RR,69.890429,Kg,69.890429,Kg,1
BOM-510C1191-R2,BOM,items,AM650N,9.247041,Kg,9.247041,Kg,1
BOM-510C1191-R2,BOM,items,B-72,19.354273,Kg,19.354273,Kg,1
BOM-510C1191-R2,BOM,items,AD102,0.193543,Kg,0.193543,Kg,1
BOM-510C1191-R2,BOM,items,AD304,0.365581,Kg,0.365581,Kg,1
BOM-510C1191-R2,BOM,items,PT01,0.946209,Kg,0.946209,Kg,1
BOM-510C1191-R2,BOM,items,PC01,0.000172,Kg,0.000172,Kg,1
BOM-510C1191-R2,BOM,items,PO01,0.001376,Kg,0.001376,Kg,1
BOM-510C1191-R2,BOM,items,PY01,0.001376,Kg,0.001376,Kg,1
BOM-510C1193-R0,BOM,items,B220MN,82.29945,Kg,82.29945,Kg,1
BOM-510C1193-R0,BOM,items,TALC 1090,15.0,Kg,15.0,Kg,1
BOM-510C1193-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C1193-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C1193-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C1193-R0,BOM,items,AD204,2.0,Kg,2.0,Kg,1
BOM-510C1193-R0,BOM,items,PB02,0.0002,Kg,0.0002,Kg,1
BOM-510C1193-R0,BOM,items,PR01,5e-05,Kg,5e-05,Kg,1
BOM-510C1193-R0,BOM,items,PT01,0.2,Kg,0.2,Kg,1
BOM-510C1193-R0,BOM,items,POB1,0.0003,Kg,0.0003,Kg,1
BOM-510C1291IM-R2,BOM,items,B120MN,67.822,Kg,67.822,Kg,1
BOM-510C1291IM-R2,BOM,items,AD206,15.0,Kg,15.0,Kg,1
BOM-510C1291IM-R2,BOM,items,B-72,15.0,Kg,15.0,Kg,1
BOM-510C1291IM-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C1291IM-R2,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-510C1291IM-R2,BOM,items,PT01,1.7,Kg,1.7,Kg,1
BOM-510C1291IM-R2,BOM,items,PB02,0.028,Kg,0.028,Kg,1
BOM-510C2001-R0,BOM,items,B120MN,75.5,Kg,75.5,Kg,1
BOM-510C2001-R0,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-510C2001-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2001-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C2001-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C2001-R0,BOM,items,PE0800,4.0,Kg,4.0,Kg,1
BOM-510C2031-R1,BOM,items,B120MN,77.55,Kg,77.55,Kg,1
BOM-510C2031-R1,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-510C2031-R1,BOM,items,AD202,2.0,Kg,2.0,Kg,1
BOM-510C2031-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2031-R1,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-510C2032-R1,BOM,items,B220MN,74.5,Kg,74.5,Kg,1
BOM-510C2032-R1,BOM,items,G508,25.0,Kg,25.0,Kg,1
BOM-510C2032-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2032-R1,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C2032-R1,BOM,items,AD103,0.1,Kg,0.1,Kg,1
BOM-510C2091-R0,BOM,items,B220MN,78.4,Kg,78.4,Kg,1
BOM-510C2091-R0,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-510C2091-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2091-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C2091-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C2091-R0,BOM,items,AD202,1.0,Kg,1.0,Kg,1
BOM-510C2091-R0,BOM,items,PT01,0.1,Kg,0.1,Kg,1
BOM-510C2101-R2,BOM,items,B220MN,75.55,Kg,75.55,Kg,1
BOM-510C2101-R2,BOM,items,TALC 1090,20.0,Kg,20.0,Kg,1
BOM-510C2101-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2101-R2,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-510C2101-R2,BOM,items,PE5302,4.0,Kg,4.0,Kg,1
BOM-510C2101A-R0,BOM,items,C320MN,77.4,Kg,77.4,Kg,1
BOM-510C2101A-R0,BOM,items,TALC 1090,21.0,Kg,21.0,Kg,1
BOM-510C2101A-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2101A-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C2101A-R0,BOM,items,BP0800,1.2,Kg,1.2,Kg,1
BOM-510C2102-R3,BOM,items,M12RR,69.6,Kg,69.6,Kg,1
BOM-510C2102-R3,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2102-R3,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C2102-R3,BOM,items,PE5302,5.0,Kg,5.0,Kg,1
BOM-510C2102-R3,BOM,items,TALC 1090,25.0,Kg,25.0,Kg,1
BOM-510C2131-R1,BOM,items,B220MN,76.5,Kg,76.5,Kg,1
BOM-510C2131-R1,BOM,items,TALC 1090,20.0,Kg,20.0,Kg,1
BOM-510C2131-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2131-R1,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-510C2131-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C2131-R1,BOM,items,AD202,3.0,Kg,3.0,Kg,1
BOM-510C2191-R1,BOM,items,B120MN,82.8984,Kg,82.8984,Kg,1
BOM-510C2191-R1,BOM,items,TALC 1090,15.0,Kg,15.0,Kg,1
BOM-510C2191-R1,BOM,items,AD304,0.4,Kg,0.4,Kg,1
BOM-510C2191-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-510C2191-R1,BOM,items,PT01,1.5,Kg,1.5,Kg,1
BOM-510C2191-R1,BOM,items,PB02,0.0016,Kg,0.0016,Kg,1
BOM-510C2293-R2,BOM,items,B220MN,68.798551,Kg,68.798551,Kg,1
BOM-510C2293-R2,BOM,items,B-72,21.0,Kg,21.0,Kg,1
BOM-510C2293-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C2293-R2,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-510C2293-R2,BOM,items,PC01,1.9e-05,Kg,1.9e-05,Kg,1
BOM-510C2293-R2,BOM,items,PV01,6.8e-05,Kg,6.8e-05,Kg,1
BOM-510C2293-R2,BOM,items,PT01,0.8,Kg,0.8,Kg,1
BOM-510C2293-R2,BOM,items,PB02,0.001362,Kg,0.001362,Kg,1
BOM-510C2293-R2,BOM,items,CO15EG,9.0,Kg,9.0,Kg,1
BOM-510C3101HS-R0,BOM,items,B220MN,66.4,Kg,66.4,Kg,1
BOM-510C3101HS-R0,BOM,items,TALC 1090,30.0,Kg,30.0,Kg,1
BOM-510C3101HS-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-510C3101HS-R0,BOM,items,AD102,0.2,Kg,0.2,Kg,1
